id,name
0,brushing hair
1,cartwheel
2,catching things
3,chewing
4,clapping
5,climbing
6,climbing stairs
7,diving
8,drawing sword
9,dribbling
10,drinking
11,eating
12,falling floor
13,fencing
14,flic_flac
15,golf
16,handstand
17,hitting
18,hug
19,jumping
20,kicking
21,kicking ball
22,kissing
23,laughing
24,picking
25,pouring
26,pullup
27,punch
28,pushing
29,pushup
30,riding bike
31,riding horse
32,running
33,shaking hands
34,shooting ball
35,shooting bows
36,shooting guns
37,sitting
38,situp
39,smiling
40,smoking
41,somersault
42,standing
43,swing baseball
44,sword fight
45,sword exercise
46,talking
47,throwing
48,turning
49,walking
50,waving
